Fecha;Item 1;item 2;Item 3;Item 4;Item 5;Item 6;Item 7;Item 8;Item 9;Item 10;Item 11;Item 12;Item 13;Item 14;Item 15;Item 16;Item 17;Item 18;Item 19;Item 20;Item 21;Item 22;Item 23;Item 24;Item 25;Item 26;Item 27;Item 28;Item 29;Item 30;Item 31;Item 32;Item 33;Item 34;Item 35;Item 36;Item 37;Item 38;Item 39;Item 40;Item 41;Item 42;Item 43;Item 44;Item 45;Item 46;Item 47;Item 48;Item 49;Item 50;Item 51;Item 52;Item 53;Item 54;Item 55;Item 56;Item 57;Item 58;Item 59;Item 60;Item 61;Item 62;Item 63;Item 64;Item 65;Item 66;Item 67;Item 68;Item 69;Item 70;Item 71;Item 72;Item 73;Item 74;Item 75;Item 76;Item 77;Item 78;Item 79;Item 80
20/03/2022;1180;864;308;4;53;65;1;32;90;1056;180;20;7;0;56;2;20;0;0;7;23;3;2;180;2;115;0;0;0;66;0;8;0;15;0;0;0;0;160;0;2;0;7;0;0;1;0;0;0;1;15;0;0;0;0;0;0;0;0;6;0;12;0;0;1;0;0;0;0;0;0;0;0;124;0;3;0;0;0;0
27/03/2022;956;1840;1268;4;2;191;6;0;0;184;36;5;1;1;128;1;30;0;0;0;0;126;0;430;0;0;0;0;0;0;0;7;0;1;0;0;0;0;56;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;470;0;0;0;0;0;0;31;0;0;0;370;0;0
3/04/2022;616;1668;572;2;44;90;3;23;111;200;272;14;0;17;120;10;67;0;0;0;3;50;0;1010;0;0;0;0;0;0;0;0;0;5;0;0;0;0;368;0;0;100;1;0;0;0;0;0;0;0;2;21;0;0;0;0;4;0;0;0;0;84;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;700;0;0
10/04/2022;88;664;584;0;17;96;0;2;54;1728;210;7;7;0;84;0;20;0;0;55;8;20;5;270;0;0;0;0;0;0;0;18;1;2;0;0;0;0;0;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17/04/2022;16;104;0;2;16;6;1;0;0;300;46;5;15;2;0;6;0;0;3;3;0;9;0;40;0;0;0;3;0;0;0;30;1;0;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;0;0;0;640;0;0;0;120;1;0;12;120;0;0;3012;0;120;0;0;244;0;0;3;234;0;0;0;4000;0
24/04/2022;540;818;412;1;0;30;2;0;7;624;952;1;5;2;-84;1;15;0;0;1;4;0;0;60;0;0;0;4;0;0;0;1;0;1;0;0;0;0;48;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1/05/2022;1697;2210;1813;35;30;626;29;0;0;1146;590;1;22;10;348;22;46;0;0;0;3;108;1;412;0;27;0;4;0;1;24;0;0;5;0;0;0;1;64;0;1;0;1;0;10116;1;0;0;40;0;2;4;0;0;4568;0;0;0;6;0;0;100;42;0;0;84;0;42;0;0;40;0;0;0;21;0;0;0;2580;0
8/05/2022;0;80;0;8;15;0;16;11;0;0;454;2;31;21;-12;4;0;0;0;0;0;0;3;0;0;0;0;13;0;0;0;20;0;0;0;0;0;0;0;0;1;2;1;0;4500;0;0;0;0;0;0;0;0;0;504;0;0;0;60;1;0;0;60;0;0;2004;-2;120;0;0;200;0;0;0;180;0;0;0;2000;0
15/05/2022;324;1008;847;11;8;32;6;5;0;852;400;18;26;6;25;5;60;0;0;0;4;0;0;410;0;0;0;0;0;3;0;3;0;3;0;0;0;0;24;0;0;0;0;0;0;0;264;0;600;0;0;0;0;480;0;0;0;0;0;1;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/05/2022;1392;1476;1821;5;11;84;9;52;8;400;852;9;40;53;307;11;80;0;21;0;9;108;0;330;0;0;0;0;0;0;0;8;0;19;0;0;0;0;8;0;0;6;2;0;0;1;0;0;224;0;7;0;0;0;0;0;0;0;0;6;0;100;0;0;0;0;0;0;0;0;0;0;0;605;0;0;0;0;0;0
29/05/2022;192;0;384;4;18;60;22;0;8;0;218;0;18;43;0;2;0;0;0;1;12;228;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17;1;0;0;0;10;19;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5/06/2022;920;1808;660;1;2;10;3;1;15;24;122;3;7;2;168;2;0;0;4;0;0;64;0;50;0;0;0;0;0;0;12;3;0;2;0;0;0;0;0;0;0;52;2;0;-1500;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0
12/06/2022;384;584;480;0;20;2;13;21;0;36;81;2;2;1;52;3;11;0;1;3;2;6;1;470;0;99;0;0;0;0;5;0;0;11;0;0;0;0;2;0;2;9;0;0;0;0;0;0;100;1;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
